group,method,display_method,scope,comparable,query_id,category,category_label,split,MRR@10,Hit@1,Hit@5,Hit@10,Recall@10,nDCG@10,gold_count,retrieved_gold_count
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_79,4,Single-Hop,test,0.5,0.0,1.0,1.0,1.0,0.6309297535714575,1.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_80,4,Single-Hop,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_81,4,Single-Hop,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_82,4,Single-Hop,test,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_83,4,Single-Hop,test,0.2,0.0,1.0,1.0,1.0,0.38685280723454163,1.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_84,4,Single-Hop,test,0.5,0.0,1.0,1.0,1.0,0.6309297535714575,1.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_85,4,Single-Hop,test,0.3333333333333333,0.0,1.0,1.0,1.0,0.5,1.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_86,4,Single-Hop,test,0.5,0.0,1.0,1.0,1.0,0.6309297535714575,1.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_87,4,Single-Hop,test,0.25,0.0,1.0,1.0,1.0,0.43067655807339306,1.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_88,4,Single-Hop,test,0.3333333333333333,0.0,1.0,1.0,1.0,0.5,1.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_89,4,Single-Hop,test,0.5,0.0,1.0,1.0,1.0,0.6309297535714575,1.0,1.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_90,4,Single-Hop,test,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,conv-41_qa_91,2,Temporal,test,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
