kind,cell,repetition,update_rate_s,op_id,queue_wait_ms,backend_read_call_ms,worker_read_ms,arrival_to_read_done_ms,candidate_count,sparse_scoring_ms,dense_scoring_ms,zscore_fusion_ms
read,cassandra-materialized,1,10.0,r1_measured_02695,0.0931,33.4017,46.598,46.6911,675,11.4131,1.3393,0.3699
read,cassandra-materialized,1,10.0,r1_measured_02083,1.4862,21.8815,42.1209,43.6071,568,17.6182,2.1208,0.4034
read,cassandra-materialized,1,10.0,r1_measured_01752,4.0994,21.4519,59.4883,63.5877,685,36.916,0.6782,0.3675
read,cassandra-materialized,1,10.0,r1_measured_02910,3.2101,20.5698,31.1165,34.3266,628,8.7433,1.3729,0.3604
read,cassandra-materialized,1,10.0,r1_measured_02911,3.5259,22.3127,49.4211,52.947,689,19.7154,6.9316,0.3783
read,cassandra-materialized,1,10.0,r1_measured_01753,4.1855,23.2273,54.8244,59.0099,686,27.6187,3.4966,0.3966
read,cassandra-materialized,1,10.0,r1_measured_02857,8.1674,9.5096,20.1284,28.2958,508,9.5223,0.6243,0.3829
read,cassandra-materialized,1,10.0,r1_measured_02890,0.2557,6.4004,8.152,8.4077,688,0.7602,0.5552,0.3673
read,cassandra-materialized,1,10.0,r1_measured_01762,0.7787,12.6955,43.6265,44.4052,663,29.759,0.7325,0.3655
read,cassandra-materialized,1,10.0,r1_measured_01745,1.1779,23.2244,29.5332,30.7111,418,5.3993,0.4355,0.4073
read,cassandra-materialized,1,10.0,r1_measured_01800,0.0984,9.016,11.2737,11.3721,662,0.9951,0.761,0.4159
read,cassandra-materialized,1,10.0,r1_measured_02387,0.2771,24.2,84.6516,84.9287,680,55.9362,4.0733,0.3604
read,cassandra-materialized,1,10.0,r1_measured_01982,0.2647,25.918,38.9788,39.2435,621,12.0255,0.5588,0.3848
read,cassandra-materialized,1,10.0,r1_measured_02907,2.7366,25.6195,36.3805,39.1171,415,9.9143,0.4359,0.358
read,cassandra-materialized,1,10.0,r1_measured_01747,1.3294,23.8761,43.5607,44.8901,626,17.6794,1.5473,0.3812
read,cassandra-materialized,1,10.0,r1_measured_02112,1.6303,18.2544,36.3243,37.9546,567,17.1134,0.5405,0.3519
read,cassandra-materialized,1,10.0,r1_measured_02061,2.1375,25.0135,85.0363,87.1738,674,58.9639,0.6018,0.3783
read,cassandra-materialized,1,10.0,r1_measured_01726,0.0414,13.9401,17.9213,17.9627,566,2.9192,0.6059,0.3803
read,cassandra-materialized,1,10.0,r1_measured_02705,0.272,9.6095,89.7718,90.0438,568,0.973,0.5358,0.3549
read,cassandra-materialized,1,10.0,r1_measured_02778,0.8283,27.171,84.5561,85.3844,688,55.8944,1.04,0.3752
read,cassandra-materialized,1,10.0,r1_measured_01499,0.0551,8.3736,10.387,10.4421,676,0.7773,0.7596,0.4061
read,cassandra-materialized,1,10.0,r1_measured_02298,1.0326,17.9032,61.6388,62.6714,672,39.9059,3.3491,0.4005
read,cassandra-materialized,1,10.0,r1_measured_02060,1.2578,24.7713,62.704,63.9618,568,36.7881,0.7046,0.3701
read,cassandra-materialized,1,10.0,r1_measured_01749,2.863,22.0887,47.9802,50.8432,628,24.7716,0.5874,0.4556
read,cassandra-materialized,1,10.0,r1_measured_01424,0.2048,61.8086,64.4749,64.6797,627,1.0533,1.183,0.3567
read,cassandra-materialized,1,10.0,r1_measured_01839,1.0353,26.4251,42.4566,43.4919,509,15.2454,0.415,0.3054
read,cassandra-materialized,1,10.0,r1_measured_01751,3.1272,21.5106,31.999,35.1262,508,8.8073,1.1643,0.4346
read,cassandra-materialized,1,10.0,r1_measured_02822,0.274,10.2425,21.0785,21.3525,680,9.2683,1.0226,0.4414
read,cassandra-materialized,1,10.0,r1_measured_02427,0.8952,7.0992,9.2616,10.1568,369,1.3913,0.312,0.3884
read,cassandra-materialized,1,10.0,r1_measured_02065,3.0543,20.6965,54.2837,57.338,679,32.3802,0.7646,0.3544
read,cassandra-materialized,1,10.0,r1_measured_01411,0.067,10.0707,11.695,11.762,416,0.9773,0.2721,0.3247
read,cassandra-materialized,1,10.0,r1_measured_02066,3.207,23.4014,35.6798,38.8868,680,10.9009,0.7582,0.5378
read,cassandra-materialized,1,10.0,r1_measured_02701,2.7746,12.8486,18.2163,20.9909,418,4.7011,0.2585,0.3539
read,cassandra-materialized,1,10.0,r1_measured_02015,0.866,17.7535,55.8398,56.7058,680,36.7904,0.8449,0.3616
