kind,cell,repetition,update_rate_s,op_id,queue_wait_ms,backend_read_call_ms,worker_read_ms,arrival_to_read_done_ms,candidate_count,sparse_scoring_ms,dense_scoring_ms,zscore_fusion_ms
read,neo4j-materialized,0,1.0,r0_measured_00010,0.1231,17.596,22.664,22.7871,660,2.1485,1.5978,1.1295
read,neo4j-materialized,0,1.0,r0_measured_00244,0.2482,28.9617,32.9329,33.1811,684,1.3597,1.6532,0.8039
read,neo4j-materialized,0,1.0,r0_measured_00108,0.1743,28.0041,31.7894,31.9637,564,1.5234,1.3025,0.8103
read,neo4j-materialized,0,1.0,r0_measured_00788,0.1064,31.2471,33.9378,34.0442,678,1.0918,0.9889,0.5028
read,neo4j-materialized,0,1.0,r0_measured_00761,0.1223,21.2788,22.8318,22.9541,413,0.6798,0.3532,0.4482
read,neo4j-materialized,0,1.0,r0_measured_00661,0.0747,16.7708,18.6585,18.7332,660,0.7542,0.6629,0.3839
read,neo4j-materialized,0,1.0,r0_measured_00460,0.099,21.7359,23.4456,23.5446,684,0.7045,0.5852,0.3443
read,neo4j-materialized,0,1.0,r0_measured_00479,0.0818,37.6208,41.5019,41.5837,508,2.3063,0.952,0.5411
read,neo4j-materialized,0,1.0,r0_measured_00495,0.1344,24.4002,27.7178,27.8522,676,1.2159,1.2761,0.6954
read,neo4j-materialized,0,1.0,r0_measured_00719,0.1459,22.218,24.972,25.1179,414,1.2007,0.6417,0.7787
read,neo4j-materialized,0,1.0,r0_measured_00064,0.2555,26.3534,28.4644,28.7199,678,0.7473,0.8175,0.4495
read,neo4j-materialized,0,1.0,r0_measured_00759,0.1292,20.0297,21.6247,21.7539,676,0.6351,0.5702,0.3152
read,neo4j-materialized,0,1.0,r0_measured_00682,0.1665,21.8203,23.0613,23.2278,415,0.532,0.2837,0.3593
read,neo4j-materialized,0,1.0,r0_measured_00643,0.1507,34.0953,36.3304,36.4811,672,0.8617,0.864,0.4134
read,neo4j-materialized,0,1.0,r0_measured_00436,0.2449,18.8425,21.0318,21.2767,508,0.8216,0.7586,0.5115
read,neo4j-materialized,0,1.0,r0_measured_00383,0.1252,19.5066,22.3446,22.4698,676,1.1786,0.9878,0.5515
read,neo4j-materialized,0,1.0,r0_measured_00377,0.0627,9.9572,11.5195,11.5822,507,0.6016,0.5348,0.3536
read,neo4j-materialized,0,1.0,r0_measured_00022,0.0466,12.3967,15.2862,15.3328,687,0.7048,1.1964,0.9003
read,neo4j-materialized,0,1.0,r0_measured_00630,0.0668,8.2075,9.3425,9.4093,365,0.5161,0.2384,0.325
read,neo4j-materialized,0,1.0,r0_measured_00056,0.0938,10.4613,12.0722,12.166,506,0.6312,0.567,0.3459
read,neo4j-materialized,0,1.0,r0_measured_00581,0.0702,11.6355,13.079,13.1492,567,0.5655,0.4635,0.3555
read,neo4j-materialized,0,1.0,r0_measured_00384,0.1696,29.0585,31.8925,32.0621,626,1.2337,0.9549,0.5281
read,neo4j-materialized,0,1.0,r0_measured_00533,0.1191,24.7976,28.0029,28.122,625,1.3199,1.0092,0.7323
read,neo4j-materialized,0,1.0,r0_measured_00461,0.1216,12.8103,14.6925,14.8141,681,0.7281,0.6926,0.3847
read,neo4j-materialized,0,1.0,r0_measured_00271,0.1955,28.7266,30.986,31.1815,626,0.9215,0.7773,0.4547
read,neo4j-materialized,0,1.0,r0_measured_00741,0.102,12.7315,14.2683,14.3703,415,0.704,0.3427,0.4167
read,neo4j-materialized,0,1.0,r0_measured_00658,0.1051,27.9283,29.72,29.8251,679,0.7278,0.6346,0.3501
read,neo4j-materialized,0,1.0,r0_measured_00641,0.1074,14.6469,16.3952,16.5026,659,0.6619,0.6449,0.3681
read,neo4j-materialized,0,1.0,r0_measured_00100,0.1229,19.1523,20.7909,20.9138,508,0.5941,0.6412,0.3368
read,neo4j-materialized,0,1.0,r0_measured_00102,0.0378,14.9604,16.5537,16.5915,671,0.5535,0.6405,0.3408
