sequence,update_id,memory_id,version,operation,backend,phase,raw_committed,backend_error,processing_started_ns,rawerk_committed_ns,bm25_committed_ns,searchable_ns,retrieved_rank,queue_wait_ms,backend_commit_ms,view_update_ms,index_update_ms,visibility_probe_ms,update_to_searchable_ms,status
71,p53c-update-00000071,p53c-memory-0000042,1,insert_memory,neo4j,stable_before_outage,1,,561574209167500,561574219074800,561574219761200,561574219913800,1,38.5128,12.1055,9.9073,0.6864,0.1526,49.2595,success
72,p53c-update-00000072,p53c-memory-0000043,1,insert_memory,neo4j,stable_before_outage,1,,561574251078300,561574258563100,561574259072300,561574259188000,1,30.6481,11.9392,7.4848,0.5092,0.1157,38.758,success
73,p53c-update-00000073,p53c-memory-0000044,1,insert_memory,neo4j,stable_before_outage,1,,561574290361700,561574295561000,561574296137000,561574296301800,1,20.1547,11.8154,5.1993,0.576,0.1648,26.0955,success
74,p53c-update-00000074,p53c-memory-0000045,1,insert_memory,neo4j,stable_before_outage,1,,561574358643400,561574373490800,561574374277500,561574374521400,1,38.1218,12.3472,14.8474,0.7867,0.2439,54.0006,success
75,p53c-update-00000075,p53c-memory-0000046,1,insert_memory,neo4j,stable_before_outage,1,,561574406087500,561574413258700,561574413777900,561574413899500,1,35.7998,18.4889,7.1712,0.5192,0.1216,43.6123,success
76,p53c-update-00000076,p53c-memory-0000047,1,insert_memory,neo4j,stable_before_outage,1,,561574475602000,561574486131400,561574486980300,561574487205100,1,54.5654,17.5565,10.5294,0.8489,0.2248,66.1693,success
77,p53c-update-00000077,p53c-memory-0000034,2,update_relation,neo4j,stable_before_outage,1,,561574518588400,561574529011100,561574529567100,561574529725500,1,47.4589,20.7052,10.4227,0.556,0.1584,58.5962,success
78,p53c-update-00000078,p53c-memory-0000029,2,update_relation,neo4j,stable_before_outage,1,,561574561283400,561574566715400,561574567305800,561574567447300,1,40.6549,22.3574,5.432,0.5904,0.1415,46.8191,success
79,p53c-update-00000079,p53c-memory-0000029,3,update_relation,neo4j,stable_before_outage,1,,561574599081100,561574607622600,561574608741700,561574608895400,1,28.8295,13.4795,8.5415,1.1191,0.1537,38.6445,success
80,p53c-update-00000080,p53c-memory-0000026,2,replace_relation,neo4j,stable_before_outage,1,,561574670497000,561574680066100,561574680669700,561574680791400,1,50.2913,19.906,9.5691,0.6036,0.1217,60.5859,success
81,p53c-update-00000081,p53c-memory-0000048,1,insert_memory,neo4j,stable_before_outage,1,,561574712475000,561574724171700,561574725073500,561574725250600,1,41.9377,14.8594,11.6967,0.9018,0.1771,54.7135,success
82,p53c-update-00000082,p53c-memory-0000049,1,insert_memory,neo4j,stable_before_outage,1,,561574756459500,561574774098700,561574775307900,561574775609200,1,35.6539,18.8681,17.6392,1.2092,0.3013,54.8039,success
83,p53c-update-00000083,p53c-memory-0000050,1,insert_memory,neo4j,stable_before_outage,1,,561574810091700,561574823609600,561574824753000,561574825036100,1,40.2258,22.4128,13.5179,1.1434,0.2831,55.1705,success
84,p53c-update-00000084,p53c-memory-0000051,1,insert_memory,neo4j,stable_before_outage,1,,561574857195700,561574864209700,561574864747400,561574864855200,1,36.217,18.3033,7.014,0.5377,0.1078,43.8772,success
85,p53c-update-00000085,p53c-memory-0000052,1,insert_memory,neo4j,stable_before_outage,1,,561574926675800,561574933613900,561574934271000,561574934392900,1,56.0918,15.7986,6.9381,0.6571,0.1219,63.8096,success
86,p53c-update-00000086,p53c-memory-0000053,1,insert_memory,neo4j,stable_before_outage,1,,561574965789500,561574971762800,561574972284300,561574972425500,1,45.4747,16.1191,5.9733,0.5215,0.1412,52.1116,success
87,p53c-update-00000087,p53c-memory-0000012,2,update_relation,neo4j,stable_before_outage,1,,561575003910000,561575012898100,561575013431900,561575013788900,1,33.925,9.9768,8.9881,0.5338,0.357,43.8042,success
88,p53c-update-00000088,p53c-memory-0000048,2,update_relation,neo4j,stable_before_outage,1,,561575045508600,561575055687600,561575056492400,561575056710400,1,24.9282,16.6378,10.179,0.8048,0.218,36.1306,success
89,p53c-update-00000089,p53c-memory-0000007,3,update_relation,neo4j,stable_before_outage,1,,561575118606600,561575126151200,561575127091200,561575127292300,1,48.674,13.7129,7.5446,0.94,0.2011,57.3604,success
90,p53c-update-00000090,p53c-memory-0000049,2,replace_relation,neo4j,stable_before_outage,1,,561575158871600,561575168649800,561575169864400,561575170356600,1,38.2015,12.0163,9.7782,1.2146,0.4922,49.6871,success
91,p53c-update-00000091,p53c-memory-0000054,1,insert_memory,neo4j,stable_before_outage,1,,561575205174600,561575222605900,561575223244200,561575223456900,1,35.0824,17.373,17.4313,0.6383,0.2127,53.3651,success
92,p53c-update-00000092,p53c-memory-0000055,1,insert_memory,neo4j,stable_before_outage,1,,561575254663000,561575259477700,561575260066600,561575260247800,1,34.1691,14.3549,4.8147,0.5889,0.1812,39.7545,success
93,p53c-update-00000093,p53c-memory-0000056,1,insert_memory,neo4j,stable_before_outage,1,,561575291774100,561575308349400,561575308848900,561575308997200,1,21.7899,12.5782,16.5753,0.4995,0.1483,39.0139,success
94,p53c-update-00000094,p53c-memory-0000057,1,insert_memory,neo4j,stable_before_outage,1,,561575370493800,561575376234800,561575376890100,561575376978800,1,50.128,13.615,5.741,0.6553,0.0887,56.6134,success
95,p53c-update-00000095,p53c-memory-0000058,1,insert_memory,neo4j,stable_before_outage,1,,561575407831800,561575412675900,561575413142200,561575413234100,1,37.008,9.7436,4.8441,0.4663,0.0919,42.4111,success
96,p53c-update-00000096,p53c-memory-0000059,1,insert_memory,neo4j,stable_before_outage,1,,561575475396900,561575488921100,561575490060300,561575490222500,1,54.4275,31.5042,13.5242,1.1392,0.1622,69.2533,success
97,p53c-update-00000097,p53c-memory-0000034,3,update_relation,neo4j,stable_before_outage,1,,561575521772600,561575529501000,561575530300200,561575530476700,1,50.5651,21.9342,7.7284,0.7992,0.1765,59.2699,success
98,p53c-update-00000098,p53c-memory-0000021,2,update_relation,neo4j,stable_before_outage,1,,561575561948500,561575570656700,561575571159800,561575571270900,1,41.7244,13.3666,8.7082,0.5031,0.1111,51.0471,success
99,p53c-update-00000099,p53c-memory-0000014,2,update_relation,neo4j,stable_before_outage,1,,561575602291700,561575609741500,561575610228800,561575610335000,1,30.9115,19.0465,7.4498,0.4873,0.1062,38.955,success
100,p53c-update-00000100,p53c-memory-0000050,2,replace_relation,neo4j,stable_before_outage,1,,561575641331500,561575648740600,561575649204700,561575649314700,1,20.8282,13.4985,7.4091,0.4641,0.11,28.8115,success
101,p53c-update-00000101,p53c-memory-0000060,1,insert_memory,neo4j,stable_before_outage,1,,561575714617000,561575719663600,561575720277900,561575720394800,1,43.3603,25.6209,5.0466,0.6143,0.1169,49.1382,success
102,p53c-update-00000102,p53c-memory-0000061,1,insert_memory,neo4j,stable_before_outage,1,,561575751680800,561575757143600,561575757853000,561575758010400,1,31.6562,10.662,5.4628,0.7094,0.1574,37.9862,success
103,p53c-update-00000103,p53c-memory-0000062,1,insert_memory,neo4j,stable_before_outage,1,,561575820359400,561575826269500,561575827218400,561575827452000,1,50.1529,15.3696,5.9101,0.9489,0.2336,57.2463,success
104,p53c-update-00000104,p53c-memory-0000063,1,insert_memory,neo4j,stable_before_outage,1,,561575858700100,561575864860800,561575865542500,561575865793300,1,38.1235,10.9109,6.1607,0.6817,0.2508,45.217,success
105,p53c-update-00000105,p53c-memory-0000064,1,insert_memory,neo4j,stable_before_outage,1,,561575897186100,561575903206000,561575904013200,561575904251400,1,26.511,11.0843,6.0199,0.8072,0.2382,33.5764,success
106,p53c-update-00000106,p53c-memory-0000065,1,insert_memory,neo4j,stable_before_outage,1,,561575966243700,561575973376600,561575974076300,561575974293000,1,45.2856,10.1256,7.1329,0.6997,0.2167,53.3353,success
107,p53c-update-00000107,p53c-memory-0000043,2,update_relation,neo4j,stable_before_outage,1,,561576005904300,561576012141700,561576012637400,561576012785600,1,35.4471,9.1367,6.2374,0.4957,0.1482,42.3287,success
108,p53c-update-00000108,p53c-memory-0000031,2,update_relation,neo4j,stable_before_outage,1,,561576043749500,561576049980900,561576050562300,561576050727700,1,23.6686,8.9423,6.2314,0.5814,0.1654,30.647,success
