backend,concurrency,run_id,update_id,update_to_searchable_ms,kg_write_ms,probe_ms,status
cassandra,64,2,evt_00020765,263.945,263.945,0,ok
cassandra,64,2,evt_00020766,264.416,264.416,0,ok
cassandra,64,2,evt_00020767,277.415,277.415,0,ok
cassandra,64,2,evt_00020768,273.092,273.092,0,ok
cassandra,64,2,evt_00020769,267.634,267.634,0,ok
cassandra,64,2,evt_00020770,266.618,266.618,0,ok
cassandra,64,2,evt_00020771,275.6,275.6,0,ok
cassandra,64,2,evt_00020772,275.332,275.332,0,ok
cassandra,64,2,evt_00020773,276.068,276.068,0,ok
cassandra,64,2,evt_00020774,268.325,268.325,0,ok
cassandra,64,2,evt_00020775,263.421,263.421,0,ok
cassandra,64,2,evt_00020776,264.483,264.483,0,ok
cassandra,64,2,evt_00020777,263.499,263.499,0,ok
cassandra,64,2,evt_00020778,63.782,63.782,0,ok
cassandra,64,2,evt_00020779,59.396,59.396,0,ok
cassandra,64,2,evt_00020780,63.454,63.454,0,ok
cassandra,64,2,evt_00020781,69.32,69.32,0,ok
cassandra,64,2,evt_00020782,67.873,67.873,0,ok
cassandra,64,2,evt_00020783,65.232,65.232,0,ok
cassandra,64,2,evt_00020784,59.794,59.794,0,ok
cassandra,64,2,evt_00020785,59.936,59.936,0,ok
cassandra,64,2,evt_00020786,60.837,60.837,0,ok
cassandra,64,2,evt_00020787,59.285,59.285,0,ok
cassandra,64,2,evt_00020788,59.356,59.356,0,ok
cassandra,64,2,evt_00020789,64.571,64.571,0,ok
cassandra,64,2,evt_00020790,62.712,62.712,0,ok
cassandra,64,2,evt_00020791,61.048,61.048,0,ok
cassandra,64,2,evt_00020792,69.858,69.858,0,ok
cassandra,64,2,evt_00020793,61.183,61.183,0,ok
cassandra,64,2,evt_00020794,71.175,71.175,0,ok
cassandra,64,2,evt_00020795,67.217,67.217,0,ok
cassandra,64,2,evt_00020796,70.503,70.503,0,ok
cassandra,64,2,evt_00020797,63.891,63.891,0,ok
cassandra,64,2,evt_00020798,58.054,58.054,0,ok
cassandra,64,2,evt_00020799,62.624,62.624,0,ok
cassandra,64,2,evt_00020800,63.78,63.78,0,ok
cassandra,64,2,evt_00020801,63.369,63.369,0,ok
cassandra,64,2,evt_00020802,64.447,64.447,0,ok
cassandra,64,2,evt_00020803,66.051,66.051,0,ok
cassandra,64,2,evt_00020804,61.023,61.023,0,ok
cassandra,64,2,evt_00020805,63.765,63.765,0,ok
cassandra,64,2,evt_00020806,60.042,60.042,0,ok
cassandra,64,2,evt_00020807,63.06,63.06,0,ok
cassandra,64,2,evt_00020808,61.101,61.101,0,ok
cassandra,64,2,evt_00020809,61.191,61.191,0,ok
