status,protocol_id,cell,concurrency,repetition,warmup_operations,measured_operations,reads,updates,warmup_seconds,measured_seconds,throughput_ops_s,latency_p50_ms,latency_p95_ms,latency_p99_ms,read_p50_ms,read_p95_ms,read_p99_ms,update_p50_ms,update_p95_ms,update_p99_ms,fresh_hit_at_10,error_rate,graph_projection_pass,relation_candidate_pass,source_sha256
PASS,graph-aware-logical-event-v2-100k-95r5u,neo4j-native,16,0,500,5000,4750,250,15.902648100047372,160.06609040003968,31.237097048499916,529.8241,648.7741400000002,796.481834,526.24365,621.86585,654.487015,737.1947,841.515535,883.5560589999998,0.7,0.0,250,250,e6115a4f6aa80877105d15daa90966b611504da196028fc0c23eef9b81a86be4
PASS,graph-aware-logical-event-v2-100k-95r5u,neo4j-native,16,1,500,5000,4750,250,15.898256400018,160.34650069999043,31.18247032627821,531.8949,657.3565850000001,793.3044040000002,528.92845,627.33421,666.5548120000001,744.5634,845.3820299999999,888.527236,0.764,0.0,250,250,a7b864e64bb8f4a8cfc809e938915a90121bb6769d9df30f5aa560065422db2d
PASS,graph-aware-logical-event-v2-100k-95r5u,neo4j-native,16,2,500,5000,4750,250,15.672942999983206,158.7331894999952,31.499398555209847,526.0153499999999,650.4689600000002,788.4820410000001,522.84525,618.93798,657.9552820000001,729.4624,850.4377249999999,882.0012569999999,0.772,0.0,250,250,f14751c6af683295111f2a3ce89409afd675f564439774419a972b1b42ac37f2
PASS,graph-aware-logical-event-v2-100k-95r5u,neo4j-native,32,0,500,5000,4750,250,16.02383830002509,163.56959729996743,30.568027815282736,1098.16895,1294.43884,1556.802124,1092.045,1246.49269,1309.373119,1449.013,1637.717985,1714.308925,0.7,0.0,250,250,7dd67fac1de2f615dcfd83d3fa262a0cf9d3c96df7352633d96442b6adb76162
PASS,graph-aware-logical-event-v2-100k-95r5u,neo4j-native,32,1,500,5000,4750,250,15.757060200034175,163.0685215999838,30.66195701623689,1097.8820500000002,1275.5966449999999,1543.3693010000002,1092.3269500000001,1237.18009,1288.4518810000002,1440.34195,1616.07586,1646.826301,0.764,0.0,250,250,e74341ab5ce10fdec6b08dcbe55a4a51386d0a12923f61f251fadf54fc31f857
PASS,graph-aware-logical-event-v2-100k-95r5u,neo4j-native,32,2,500,5000,4750,250,16.18955080001615,162.37042170000495,30.79378588569526,1092.4119999999998,1277.9682149999999,1534.3419360000003,1087.00655,1238.129245,1288.2866100000003,1423.32435,1604.71055,1677.222622,0.772,0.0,250,250,d41872ab476e7319502c33fdecce49c771d374e9a69e2430a140be413cdbf832
PASS,graph-aware-logical-event-v2-100k-95r5u,neo4j-native,64,0,500,5000,4750,250,16.44941140001174,169.9357590000145,29.42288326731499,2298.9658499999996,2640.6480450000004,3146.815786,2288.9615,2559.437055,2685.794362000001,2963.5665,3299.03709,3397.2616599999997,0.7,0.0,250,250,d4e1c75006ea66b1a621a593a2cdb2b3f1cd9ed33820cd65ef08b7a44efcb5b0
PASS,graph-aware-logical-event-v2-100k-95r5u,neo4j-native,64,1,500,5000,4750,250,16.179416500031948,171.53869170002872,29.147942953555606,2304.9844000000003,2749.45537,3257.428739,2293.6124499999996,2622.15928,2877.4414720000022,2980.3341499999997,3356.21431,3729.7384269999975,0.764,0.0,250,250,716e64ae8312df0319b081b7b25b4596cac05271000e542ad43e8140b87ff89f
PASS,graph-aware-logical-event-v2-100k-95r5u,neo4j-native,64,2,500,5000,4750,250,16.54175390000455,170.34416440001223,29.352340995132092,2310.20565,2651.01319,3164.068888000002,2297.5873,2580.517195,2680.7007070000004,2958.647,3280.437,3429.848297,0.772,0.0,250,250,e75fa121166b70e07d900a944f16bb429ca266d8675ccc5ec2dbb64a3efe13cc
PASS,graph-aware-logical-event-v2-100k-95r5u,neo4j-materialized,1,0,500,5000,4750,250,8.921724200015888,87.75278760003857,56.978246922355346,14.091750000000001,48.49057000000003,84.62807200000005,13.974250000000001,21.059265,28.753367000000026,73.267,101.231175,117.47882499999996,0.7,0.0,250,250,4888811cacd0b417131248fac0a5bdfcbc17ab7e43fa67efedbd0c08c5cfea21
PASS,graph-aware-logical-event-v2-100k-95r5u,neo4j-materialized,1,1,500,5000,4750,250,8.623714299988933,87.24915039999178,57.307148288294066,14.2345,50.787470000000006,81.68384500000012,14.1025,20.494940000000003,28.810278000000007,71.94175000000001,96.46866999999999,109.24985899999999,0.764,0.0,250,250,ac27187347a334d471e3ec82e5020e68a17a6ae1b896963e7d97c1eba1cbf68f
PASS,graph-aware-logical-event-v2-100k-95r5u,neo4j-materialized,1,2,500,5000,4750,250,8.475895299983677,88.88880370004335,56.25005390861798,14.23375,53.46623500000006,86.96759700000013,14.0876,21.253800000000005,28.567164000000002,73.01125,107.69413999999999,115.29307199999998,0.772,0.0,250,250,d580772affa61b43e4cd5555f23d82d9d7b46e263b743463ad906c1b3641b26d
PASS,graph-aware-logical-event-v2-100k-95r5u,neo4j-materialized,8,0,500,5000,4750,250,15.627900800027419,166.11353540001437,30.09989515881177,268.8419,369.6220800000001,437.4690100000001,266.88505,340.05865,381.082062,399.63075000000003,480.64957999999996,518.6293949999999,0.7,0.0,250,250,70b639a4437b267432a5c18cc3b0e8b4cf857d243bfa83511fd7f9353956dfb4
PASS,graph-aware-logical-event-v2-100k-95r5u,neo4j-materialized,8,1,500,5000,4750,250,15.715130900032818,149.69229769997764,33.4018521782684,239.6728,332.6629,420.2455640000001,237.5058,305.52131,351.6352570000005,369.5276,447.96797,502.9564149999999,0.764,0.0,250,250,f0709b88bf5072a49ef3a562c42a0a3d9ac43eb168d6616c3d22a39c5d4efb42
PASS,graph-aware-logical-event-v2-100k-95r5u,neo4j-materialized,8,2,500,5000,4750,250,14.125519200053532,147.622423599998,33.87019314591491,237.2004,333.0961700000001,401.99038100000007,235.35750000000002,305.21338000000003,343.16163300000005,359.26430000000005,462.1566399999999,542.2098509999997,0.772,0.0,250,250,421a29b4ca4bfa01c7dce1a67c4dfba183eef1a4fbda0e4aaf03cca45d885987
PASS,graph-aware-logical-event-v2-100k-95r5u,neo4j-materialized,16,0,500,5000,4750,250,15.093980500008911,146.74188749998575,34.07343387211429,483.1123,621.9800700000001,726.535706,479.3741,579.20139,636.5458330000002,673.13685,771.90847,865.8644859999999,0.7,0.0,250,250,2e0eae69cf6ec42ecaacbf3f4dadc1619c4f78148c2044eb8a92af98aedb99cd
PASS,graph-aware-logical-event-v2-100k-95r5u,neo4j-materialized,16,1,500,5000,4750,250,14.457442499988247,146.36806780000916,34.160456410695936,481.6941,609.7961200000001,739.9803840000003,478.61485,575.684225,618.0181340000001,675.94425,791.36081,826.8398569999999,0.764,0.0,250,250,8a670a7dc17baeecbf669a52d5cd395515ccfeaab0cbb15afcdf64d4696c7116
PASS,graph-aware-logical-event-v2-100k-95r5u,neo4j-materialized,16,2,500,5000,4750,250,14.605535399983637,145.66125470004044,34.32621811679761,480.56780000000003,611.328225,720.925381,477.49289999999996,570.14032,624.215285,666.54655,761.53251,810.1713629999997,0.772,0.0,250,250,7d21ef36c1758e03e7352138a4dbae4771def284a05181c8763821613ee94539
PASS,graph-aware-logical-event-v2-100k-95r5u,neo4j-materialized,32,0,500,5000,4750,250,14.619790999975521,150.87440479994984,33.14014730748858,1004.9109,1221.1465150000001,1490.0479050000004,999.30845,1161.166665,1259.651507,1335.5839,1531.1506049999998,1750.0712319999984,0.7,0.0,250,250,0121f16a595371620990b1d56adee4a6f30d7654ecc09af4415768b024fbb368
PASS,graph-aware-logical-event-v2-100k-95r5u,neo4j-materialized,32,1,500,5000,4750,250,14.838107599993236,150.142074900039,33.30179100914171,1002.1564000000001,1198.4927500000001,1437.520061,997.2298499999999,1157.43831,1212.533505,1336.7663,1505.07197,1566.3888239999999,0.764,0.0,250,250,e1b6b974774a25b2f353b707a04eb2d1dca1d084aaafbd94b474dd4a4435c09e
PASS,graph-aware-logical-event-v2-100k-95r5u,neo4j-materialized,32,2,500,5000,4750,250,14.645203200052492,149.54153340001358,33.43552714967377,1000.3236999999999,1192.6516400000003,1430.4543660000004,995.6641,1156.331105,1208.9636560000006,1323.3321,1500.353105,1529.526956,0.772,0.0,250,250,b538f4d464f93a724096138985c4ff90913bdde965f65be28cd7b5013a1a9304
PASS,graph-aware-logical-event-v2-100k-95r5u,neo4j-materialized,64,0,500,5000,4750,250,15.070547299983446,153.49437030003173,32.57448459006425,2071.2311,2405.46609,2876.511153000001,2058.4031,2324.1187000000004,2429.4788450000005,2681.81505,3014.4313699999993,3101.8170079999995,0.7,0.0,250,250,4555c6f93b3132b345be449faace65e2cc4f38281c08383216de9480e5a818c1
PASS,graph-aware-logical-event-v2-100k-95r5u,neo4j-materialized,64,1,500,5000,4750,250,14.927516299998388,154.35725250001997,32.39238791192758,2080.9949,2412.08147,2906.633689,2070.5499499999996,2340.71434,2455.1525540000002,2668.86805,3016.0311449999995,3135.9932169999997,0.764,0.0,250,250,a2e26f210489ab01b6f419211668b9f24e99c699c5800f1836c7574d04128319
PASS,graph-aware-logical-event-v2-100k-95r5u,neo4j-materialized,64,2,500,5000,4750,250,15.048362399975304,153.1109318000381,32.65606146613991,2071.8812500000004,2368.2370550000005,2842.392199000001,2060.5149499999998,2307.077105,2405.468099,2664.0963,2998.0501649999997,3090.923066,0.772,0.0,250,250,f5e177d5e5cafa2fbee860befaf55f540fd856bbd1dfd0259d506fc9240aa495
