op_id,cell,concurrency,repetition,qa_id,scope_id,target_memory_id,commit_ms,rawerk_visible_ms,sparse_index_visible_ms,dense_index_visible_ms,candidate_fetch_ms,sparse_scoring_ms,dense_scoring_ms,zscore_fusion_ms,time_to_top10_ms,fresh_hit_at_10,projection_ok,candidate_count
r0_measured_03452,cassandra-base,8,0,lr000005::conv-47_qa_101,lr000005::conv-47,lr000005::conv-47_session_16_D16:8,5.0213,13.9468,86.303,191.8856,10.1209,22.8377,0.5356,0.381,225.8341,1,1,687
r0_measured_03455,cassandra-base,8,0,lr000014::conv-41_qa_119,lr000014::conv-41,lr000014::conv-41_session_22_D22:17,5.3609,41.7429,82.233,178.8762,13.492,33.3298,0.5842,0.5063,226.8724,1,1,663
r0_measured_03467,cassandra-base,8,0,lr000013::conv-42_qa_133,lr000013::conv-42,lr000013::conv-42_session_16_D16:6,4.8065,12.2424,56.3977,100.8285,11.5272,35.5416,0.5057,0.4078,148.8807,1,1,628
r0_measured_03472,cassandra-base,8,0,lr000013::conv-30_qa_0,lr000013::conv-30,lr000013::conv-30_session_1_D1:2,4.8344,9.8357,28.4067,47.8516,6.8214,4.8938,0.2455,0.3462,60.2093,1,1,369
r0_measured_03478,cassandra-base,8,0,lr000007::conv-49_qa_63,lr000007::conv-49,lr000007::conv-49_session_14_D14:1,3.8461,22.8794,64.0081,82.4559,23.2456,3.1705,0.3538,0.3866,109.6756,1,1,508
r0_measured_03489,cassandra-base,8,0,lr000012::conv-26_qa_38,lr000012::conv-26,lr000012::conv-26_session_8_D8:4,9.469,27.0517,56.3364,174.2424,10.1133,2.9131,0.2938,0.3757,,0,1,419
r0_measured_03501,cassandra-base,8,0,lr000016::conv-50_qa_57,lr000016::conv-50,lr000016::conv-50_session_27_D27:2,3.0097,11.6461,45.5525,196.4173,10.3783,2.8449,1.3275,0.3891,,0,1,568
r0_measured_03543,cassandra-base,8,0,lr000004::conv-43_qa_99,lr000004::conv-43,lr000004::conv-43_session_8_D8:22,6.4802,18.175,51.7368,293.7946,6.8992,9.0105,0.6618,0.3801,310.8151,1,1,679
r0_measured_03574,cassandra-base,8,0,lr000009::conv-42_qa_23,lr000009::conv-42,lr000009::conv-42_session_14_D14:1,3.8849,14.7733,122.0821,206.1011,13.6412,4.4773,2.4529,0.4045,227.1447,1,1,629
r0_measured_03585,cassandra-base,8,0,lr000015::conv-44_qa_58,lr000015::conv-44,lr000015::conv-44_session_25_D25:14,4.9762,15.6876,74.4516,102.4251,6.4722,5.8029,0.571,0.4442,115.7907,1,1,675
r0_measured_03589,cassandra-base,8,0,lr000007::conv-49_qa_36,lr000007::conv-49,lr000007::conv-49_session_7_D7:8,18.3516,34.2305,61.4881,85.92,7.1878,12.4696,1.1626,0.3833,,0,1,509
r0_measured_03713,cassandra-base,8,0,lr000015::conv-50_qa_46,lr000015::conv-50,lr000015::conv-50_session_21_D21:4,5.545,88.2989,123.3579,195.2566,12.6515,6.0193,1.2756,0.3713,,0,1,566
r0_measured_03728,cassandra-base,8,0,lr000008::conv-43_qa_90,lr000008::conv-43,lr000008::conv-43_session_6_D6:17,5.7394,11.6448,46.122,71.632,11.5098,11.1139,0.9171,0.3671,95.6028,1,1,677
r0_measured_03752,cassandra-base,8,0,lr000004::conv-43_qa_125,lr000004::conv-43,lr000004::conv-43_session_15_D15:11,8.0381,25.7657,61.8131,87.4989,8.7086,5.4502,0.5885,0.4035,102.7133,1,1,680
r0_measured_03778,cassandra-base,8,0,lr000006::conv-42_qa_123,lr000006::conv-42,lr000006::conv-42_session_13_D13:11,8.4319,39.1694,66.7339,78.2912,9.1224,13.1676,0.4195,0.3899,101.4542,1,1,628
r0_measured_03799,cassandra-base,8,0,lr000014::conv-47_qa_104,lr000014::conv-47,lr000014::conv-47_session_16_D16:11,4.8405,16.6655,85.6583,135.7218,9.8406,11.7713,0.5806,0.3701,158.3539,1,1,689
r0_measured_03801,cassandra-base,8,0,lr000005::conv-50_qa_86,lr000005::conv-50,lr000005::conv-50_session_9_D9:15,5.9293,40.2718,81.6202,128.049,7.8391,8.217,1.0859,0.3664,145.6163,1,1,567
r0_measured_03838,cassandra-base,8,0,lr000013::conv-42_qa_74,lr000013::conv-42,lr000013::conv-42_session_1_D1:16,9.5767,23.8379,144.685,156.7322,10.5175,34.6805,0.6512,0.4504,,0,1,629
r0_measured_03843,cassandra-base,8,0,lr000008::conv-30_qa_18,lr000008::conv-30,lr000008::conv-30_session_1_D1:4,9.556,41.8161,136.9965,145.9678,6.0522,2.9327,0.3162,0.3864,,0,1,369
r0_measured_03851,cassandra-base,8,0,lr000011::conv-41_qa_85,lr000011::conv-41,lr000011::conv-41_session_10_D10:13,79.4094,101.6898,157.271,201.2297,29.9609,20.3689,0.5855,0.4588,252.6955,1,1,658
r0_measured_03883,cassandra-base,8,0,lr000015::conv-50_qa_70,lr000015::conv-50,lr000015::conv-50_session_30_D30:1,2.4299,23.9188,71.2008,234.9391,5.3405,5.5656,0.434,0.3978,,0,1,567
r0_measured_03914,cassandra-base,8,0,lr000014::conv-42_qa_50,lr000014::conv-42,lr000014::conv-42_session_13_D13:9,5.2851,12.0031,47.5323,176.4051,13.4009,9.9831,0.5212,0.4008,,0,1,628
r0_measured_03927,cassandra-base,8,0,lr000010::conv-30_qa_38,lr000010::conv-30,lr000010::conv-30_session_19_D19:6,6.5756,14.0419,35.6004,111.8084,7.3669,2.8968,0.2529,0.3948,122.7671,1,1,368
r0_measured_03977,cassandra-base,8,0,lr000011::conv-41_qa_133,lr000011::conv-41,lr000011::conv-41_session_27_D27:9,8.8283,27.4775,160.4529,168.9766,25.9107,4.4052,0.6046,0.4132,200.3901,1,1,659
r0_measured_03998,cassandra-base,8,0,lr000016::conv-30_qa_10,lr000016::conv-30,lr000016::conv-30_session_5_D5:5,7.4489,25.7128,65.4122,99.8909,13.4764,4.625,0.2546,0.3546,118.6501,1,1,368
r0_measured_04001,cassandra-base,8,0,lr000014::conv-42_qa_57,lr000014::conv-42,lr000014::conv-42_session_26_D26:19,11.0648,39.2003,78.0361,96.9835,11.2428,13.6082,0.5364,0.4013,,0,1,629
r0_measured_04066,cassandra-base,8,0,lr000014::conv-50_qa_146,lr000014::conv-50,lr000014::conv-50_session_28_D28:40,7.6135,23.5545,90.4487,127.7953,15.5387,39.6435,0.8108,0.4245,184.2973,1,1,567
r0_measured_04073,cassandra-base,8,0,lr000011::conv-41_qa_52,lr000011::conv-41,lr000011::conv-41_session_27_D27:8,7.4695,41.2909,79.6575,126.239,8.6575,31.9166,1.0812,0.4372,168.4229,1,1,660
r0_measured_04078,cassandra-base,8,0,lr000015::conv-47_qa_58,lr000015::conv-47,lr000015::conv-47_session_28_D28:27,30.1178,47.6381,81.3105,152.213,5.7936,8.7345,14.4247,0.5009,181.7548,1,1,689
r0_measured_04087,cassandra-base,8,0,lr000003::conv-41_qa_2,lr000003::conv-41,lr000003::conv-41_session_2_D2:28,13.4991,26.076,75.1794,361.7124,6.1755,5.1642,2.3836,0.3837,375.8887,1,1,662
r0_measured_04105,cassandra-base,8,0,lr000001::conv-49_qa_116,lr000001::conv-49,lr000001::conv-49_session_11_D11:8,4.0101,14.4282,44.4528,277.8765,4.3092,5.3951,0.8633,0.3564,288.8588,1,1,509
r0_measured_04119,cassandra-base,8,0,lr000004::conv-47_qa_12,lr000004::conv-47,lr000004::conv-47_session_6_D6:6,4.8601,13.4802,125.3123,250.3512,13.2346,27.635,0.9718,0.3862,,0,1,689
r0_measured_04133,cassandra-base,8,0,lr000005::conv-49_qa_32,lr000005::conv-49,lr000005::conv-49_session_6_D6:13,3.3359,10.5049,62.5409,107.5884,5.2523,0.8889,0.7904,0.4347,,0,1,509
r0_measured_04137,cassandra-base,8,0,lr000013::conv-50_qa_104,lr000013::conv-50,lr000013::conv-50_session_16_D16:20,23.3001,36.5667,66.4111,102.6292,11.1336,36.9175,1.256,0.3682,152.3709,1,1,568
r0_measured_04151,cassandra-base,8,0,lr000001::conv-42_qa_75,lr000001::conv-42,lr000001::conv-42_session_3_D3:4,6.5942,21.6763,56.1029,173.857,14.7046,18.4714,1.4398,0.4333,,0,1,629
r0_measured_04183,cassandra-base,8,0,lr000009::conv-30_qa_42,lr000009::conv-30,lr000009::conv-30_session_1_D1:19,5.377,15.3602,36.3827,71.165,13.166,3.089,0.6261,0.7277,88.8647,1,1,369
r0_measured_04200,cassandra-base,8,0,lr000003::conv-30_qa_18,lr000003::conv-30,lr000003::conv-30_session_1_D1:4,2.3517,17.4405,43.8666,78.6765,10.2417,2.7928,0.2621,0.368,,0,1,369
r0_measured_04262,cassandra-base,8,0,lr000008::conv-43_qa_138,lr000008::conv-43,lr000008::conv-43_session_19_D19:6,11.6656,107.4264,157.6023,348.5201,29.4687,8.9064,0.4223,0.3568,423.3842,1,1,679
r0_measured_04330,cassandra-base,8,0,lr000008::conv-43_qa_169,lr000008::conv-43,lr000008::conv-43_session_27_D27:28,5.7663,20.0489,147.315,281.8182,15.4846,79.0598,1.3059,0.3734,378.1077,1,1,679
r0_measured_04339,cassandra-base,8,0,lr000006::conv-42_qa_162,lr000006::conv-42,lr000006::conv-42_session_23_D23:7,4.513,15.1083,50.813,205.7213,5.4931,23.5196,11.3317,0.3966,246.5462,1,1,629
r0_measured_04348,cassandra-base,8,0,lr000008::conv-47_qa_100,lr000008::conv-47,lr000008::conv-47_session_15_D15:15,5.4101,39.9461,74.6441,207.3157,15.1502,78.98,1.8685,0.3634,303.7438,1,1,689
r0_measured_04387,cassandra-base,8,0,lr000011::conv-41_qa_119,lr000011::conv-41,lr000011::conv-41_session_22_D22:17,2.864,15.2219,50.3168,57.5608,14.5109,71.2448,0.9293,0.4688,144.787,1,1,661
r0_measured_04428,cassandra-base,8,0,lr000007::conv-26_qa_35,lr000007::conv-26,lr000007::conv-26_session_9_D9:1,9.7993,29.2622,107.9763,166.5895,15.0219,3.3757,0.2919,0.4212,185.7568,1,1,419
r0_measured_04435,cassandra-base,8,0,lr000014::conv-50_qa_154,lr000014::conv-50,lr000014::conv-50_session_30_D30:2,6.2973,34.5683,92.3641,144.9837,15.412,14.8324,0.4284,0.3515,176.0675,1,1,568
