op_id,cell,concurrency,repetition,qa_id,scope_id,target_memory_id,commit_ms,rawerk_visible_ms,sparse_index_visible_ms,dense_index_visible_ms,candidate_fetch_ms,sparse_scoring_ms,dense_scoring_ms,zscore_fusion_ms,time_to_top10_ms,fresh_hit_at_10,projection_ok,candidate_count
r2_measured_02996,cassandra-materialized,1,2,lr000008::conv-42_qa_105,lr000008::conv-42,lr000008::conv-42_session_4_D4:3,7.794,17.299,36.0652,38.3438,8.4654,0.716,0.3623,0.3034,,0,1,629
r2_measured_03007,cassandra-materialized,1,2,lr000014::conv-41_qa_67,lr000014::conv-41,lr000014::conv-41_session_1_D1:12,9.3367,17.7676,41.6076,43.9629,17.6409,0.8327,0.457,0.4016,,0,1,663
r2_measured_03020,cassandra-materialized,1,2,lr000015::conv-26_qa_91,lr000015::conv-26,lr000015::conv-26_session_4_D4:3,2.2442,12.9008,28.5726,30.0002,15.8921,0.4851,0.2445,0.3165,46.9921,1,1,418
r2_measured_03033,cassandra-materialized,1,2,lr000003::conv-50_qa_60,lr000003::conv-50,lr000003::conv-50_session_4_D4:24,3.2951,17.2709,42.7206,45.0929,9.2444,0.5958,0.3809,0.3752,,0,1,567
r2_measured_03054,cassandra-materialized,1,2,lr000009::conv-49_qa_61,lr000009::conv-49,lr000009::conv-49_session_13_D13:4,16.5392,37.212,55.2145,57.1472,17.6562,0.6238,0.3633,0.3131,76.1752,1,1,506
r2_measured_03085,cassandra-materialized,1,2,lr000006::conv-41_qa_52,lr000006::conv-41,lr000006::conv-41_session_27_D27:8,9.5097,35.1349,115.6985,117.9672,19.8013,0.5362,0.3741,0.2999,139.0378,1,1,663
r2_measured_03099,cassandra-materialized,1,2,lr000016::conv-42_qa_147,lr000016::conv-42,lr000016::conv-42_session_18_D18:9,10.7991,21.213,39.5637,41.6912,15.7755,0.5599,0.3291,0.2955,58.7028,1,1,629
r2_measured_03111,cassandra-materialized,1,2,lr000013::conv-42_qa_166,lr000013::conv-42,lr000013::conv-42_session_23_D23:18,8.0218,22.4668,43.5512,46.2111,24.038,0.7277,0.4578,0.396,71.9174,1,1,626
r2_measured_03128,cassandra-materialized,1,2,lr000011::conv-42_qa_73,lr000011::conv-42,lr000011::conv-42_session_28_D28:22,9.8242,19.685,41.6227,43.7667,21.0301,0.5747,0.363,0.3315,66.1309,1,1,629
r2_measured_03152,cassandra-materialized,1,2,lr000014::conv-47_qa_1,lr000014::conv-47,lr000014::conv-47_session_1_D1:26,8.071,21.2115,44.9993,47.0415,11.3,0.622,0.4228,0.3753,,0,1,688
r2_measured_03166,cassandra-materialized,1,2,lr000001::conv-26_qa_137,lr000001::conv-26,lr000001::conv-26_session_17_D17:12,14.5557,29.6934,47.5281,49.0278,9.4771,0.4924,0.2788,0.3016,,0,1,418
r2_measured_03191,cassandra-materialized,1,2,lr000000::conv-42_qa_91,lr000000::conv-42,lr000000::conv-42_session_9_D9:14,8.1993,16.7028,36.6494,39.1615,7.5069,0.7516,0.4257,0.374,48.2898,1,1,628
r2_measured_03205,cassandra-materialized,1,2,lr000001::conv-41_qa_76,lr000001::conv-41,lr000001::conv-41_session_7_D7:4,5.294,14.6113,37.665,39.9231,17.611,1.4191,0.4678,0.3295,59.8614,1,1,662
r2_measured_03233,cassandra-materialized,1,2,lr000003::conv-47_qa_145,lr000003::conv-47,lr000003::conv-47_session_29_D29:12,7.9616,22.0663,41.0179,43.2532,11.2068,0.6852,0.3716,0.3076,55.8901,1,1,689
r2_measured_03257,cassandra-materialized,1,2,lr000007::conv-43_qa_83,lr000007::conv-43,lr000007::conv-43_session_4_D4:5,11.4419,19.9865,40.0052,42.2191,8.3992,0.6277,0.4259,0.3052,52.0395,1,1,680
r2_measured_03281,cassandra-materialized,1,2,lr000009::conv-49_qa_31,lr000009::conv-49,lr000009::conv-49_session_9_D9:1,3.8268,14.3575,35.2382,37.0101,24.9036,0.6805,0.3266,0.2956,63.282,1,1,507
r2_measured_03285,cassandra-materialized,1,2,lr000012::conv-49_qa_72,lr000012::conv-49,lr000012::conv-49_session_20_D20:6,5.4852,18.2232,35.2841,37.1146,9.4639,0.568,0.3237,0.3171,47.8472,1,1,508
r2_measured_03286,cassandra-materialized,1,2,lr000002::conv-48_qa_188,lr000002::conv-48,lr000002::conv-48_session_29_D29:27,7.2233,15.9602,34.4524,36.9472,8.1757,0.6424,0.3905,0.3374,,0,1,681
r2_measured_03292,cassandra-materialized,1,2,lr000006::conv-48_qa_8,lr000006::conv-48,lr000006::conv-48_session_1_D1:15,7.0765,23.5074,41.6788,44.5443,26.3355,1.0436,0.693,0.5807,73.3119,1,1,680
r2_measured_03325,cassandra-materialized,1,2,lr000013::conv-48_qa_110,lr000013::conv-48,lr000013::conv-48_session_5_D5:7,6.9928,21.1317,41.6651,44.0503,5.1779,0.6768,0.411,0.3397,50.7217,1,1,681
r2_measured_03337,cassandra-materialized,1,2,lr000010::conv-42_qa_70,lr000010::conv-42,lr000010::conv-42_session_25_D25:21,7.1733,17.164,44.6611,47.7162,10.5007,0.656,0.4254,0.3629,,0,1,625
r2_measured_03342,cassandra-materialized,1,2,lr000016::conv-48_qa_170,lr000016::conv-48,lr000016::conv-48_session_24_D24:5,5.7666,16.6491,38.4701,41.0874,6.0904,0.7229,0.5366,0.578,49.0977,1,1,679
r2_measured_03349,cassandra-materialized,1,2,lr000008::conv-41_qa_109,lr000008::conv-41,lr000008::conv-41_session_18_D18:17,6.91,18.0608,47.3524,50.3963,7.6167,0.7912,0.4852,0.415,59.7907,1,1,663
r2_measured_03361,cassandra-materialized,1,2,lr000012::conv-49_qa_80,lr000012::conv-49,lr000012::conv-49_session_24_D24:3,5.2834,15.351,113.4522,115.7,7.364,0.6839,0.37,0.4438,124.6355,1,1,509
r2_measured_03370,cassandra-materialized,1,2,lr000009::conv-49_qa_52,lr000009::conv-49,lr000009::conv-49_session_10_D10:12,7.6066,14.4154,31.6866,34.4178,12.2154,0.7907,0.466,0.5042,,0,1,508
r2_measured_03376,cassandra-materialized,1,2,lr000013::conv-43_qa_118,lr000013::conv-43,lr000013::conv-43_session_13_D13:8,8.3788,17.2689,43.6846,46.874,16.8045,0.7501,0.4551,0.4361,65.4003,1,1,679
r2_measured_03398,cassandra-materialized,1,2,lr000007::conv-41_qa_44,lr000007::conv-41,lr000007::conv-41_session_25_D25:2,7.5111,17.2685,41.3972,43.7635,4.6392,0.6086,0.3979,0.3417,49.8217,1,1,662
r2_measured_03405,cassandra-materialized,1,2,lr000000::conv-47_qa_96,lr000000::conv-47,lr000000::conv-47_session_13_D13:15,17.9751,38.7693,63.9159,66.4997,15.2904,0.6191,0.4102,0.3234,83.2097,1,1,687
