cell,concurrency,rank_by_mean,stage,mean_ms,share_of_mean_pipeline,p50_ms,p95_ms,p99_ms
neo4j-native,16,5,backend_commit_ms,9.2619,0.0094,5.1673,30.6083,36.4032
neo4j-native,16,6,structured_view_after_commit_ms,5.7639,0.0058,3.9035,13.6069,20.9228
neo4j-native,16,7,dense_scoring_ms,1.0296,0.001,0.6953,2.6854,4.394
neo4j-native,16,8,zscore_fusion_ms,0.6053,0.0006,0.3785,1.4367,2.3201
neo4j-native,32,1,candidate_fetch_ms,1026.3343,0.7747,1061.2567,1304.9865,1576.43
neo4j-native,32,2,dense_index_update_ms,227.1627,0.1715,233.1874,295.5936,326.7936
neo4j-native,32,3,sparse_index_update_ms,43.9374,0.0332,39.5555,87.5794,112.1787
neo4j-native,32,4,sparse_scoring_ms,12.2075,0.0092,11.382,25.1604,35.7423
neo4j-native,32,5,structured_view_after_commit_ms,7.3772,0.0056,6.3584,11.5907,30.7603
neo4j-native,32,6,backend_commit_ms,6.4925,0.0049,5.8717,9.9084,19.771
neo4j-native,32,7,dense_scoring_ms,0.9186,0.0007,0.7607,2.1047,2.9336
neo4j-native,32,8,zscore_fusion_ms,0.4021,0.0003,0.3779,0.4996,0.841
neo4j-native,64,1,candidate_fetch_ms,2104.3439,0.7822,2152.5246,2839.4573,3216.2987
neo4j-native,64,2,dense_index_update_ms,470.7442,0.175,481.7415,604.1628,664.2363
neo4j-native,64,3,sparse_index_update_ms,64.9472,0.0241,56.9128,123.8972,150.117
neo4j-native,64,4,sparse_scoring_ms,23.7037,0.0088,22.1472,50.3901,75.0071
neo4j-native,64,5,structured_view_after_commit_ms,13.5278,0.005,12.0802,22.3784,50.7322
neo4j-native,64,6,backend_commit_ms,10.9272,0.0041,9.4635,18.8682,37.3335
neo4j-native,64,7,dense_scoring_ms,1.5746,0.0006,1.0593,4.1292,6.5327
neo4j-native,64,8,zscore_fusion_ms,0.407,0.0002,0.3843,0.5047,0.93
