alpha_dense,split,category,n,MRR@10,Hit@1,Hit@5,Hit@10,Recall@10,nDCG@10
0.7,dev,1,58,0.43852627257799665,0.25862068965517243,0.6551724137931034,0.7586206896551724,0.4337438423645319,0.3548359176312129
0.7,dev,2,82,0.5866627951993806,0.5,0.6707317073170732,0.7560975609756098,0.75,0.623703088785223
0.7,dev,3,21,0.2968253968253969,0.19047619047619047,0.47619047619047616,0.5238095238095238,0.42857142857142855,0.31670588131068783
0.7,dev,4,229,0.5343505233243224,0.42358078602620086,0.7074235807860262,0.7685589519650655,0.74235807860262,0.5729913883408562
0.7,test,1,224,0.4424355158730158,0.29017857142857145,0.6473214285714286,0.7767857142857143,0.49512501322299246,0.3851567600644851
0.7,test,2,239,0.6381716145314471,0.5523012552301255,0.7656903765690377,0.8158995815899581,0.7928870292887029,0.6647379436865278
0.7,test,3,71,0.3021294433266264,0.2112676056338028,0.4084507042253521,0.5352112676056338,0.39132836233084783,0.2897187890598684
0.7,test,4,612,0.5631905539993773,0.43137254901960786,0.7483660130718954,0.8447712418300654,0.8404139433551199,0.6278672709446466
0.8,dev,1,58,0.43006978653530364,0.25862068965517243,0.6551724137931034,0.7413793103448276,0.4241926655719759,0.34549178986629536
0.8,dev,2,82,0.5637679055361983,0.47560975609756095,0.6463414634146342,0.7195121951219512,0.7073170731707317,0.5943894970653357
0.8,dev,3,21,0.2878306878306878,0.19047619047619047,0.42857142857142855,0.5714285714285714,0.47619047619047616,0.3196752951437473
0.8,dev,4,229,0.5193439384487418,0.4148471615720524,0.6724890829694323,0.7336244541484717,0.7096069868995634,0.5551643225647606
0.8,test,1,224,0.4251364087301589,0.27232142857142855,0.6294642857142857,0.7589285714285714,0.4911390438352374,0.3770996138729818
0.8,test,2,239,0.6393405060769078,0.5606694560669456,0.7489539748953975,0.799163179916318,0.7775453277545327,0.6620457616023333
0.8,test,3,71,0.30508607198748044,0.22535211267605634,0.4225352112676056,0.5070422535211268,0.36902789284727977,0.2858269346760296
0.8,test,4,612,0.5397558097312997,0.4068627450980392,0.7140522875816994,0.8169934640522876,0.8126361655773421,0.6037886376650698
0.9,dev,1,58,0.4347906403940886,0.29310344827586204,0.6551724137931034,0.7241379310344828,0.42833880678708264,0.3445734058781166
0.9,dev,2,82,0.5415650406504064,0.45121951219512196,0.6341463414634146,0.7195121951219512,0.7073170731707317,0.579074617543058
0.9,dev,3,21,0.24727891156462586,0.14285714285714285,0.38095238095238093,0.5238095238095238,0.42857142857142855,0.280568233820014
0.9,dev,4,229,0.5073733277881749,0.40611353711790393,0.6462882096069869,0.7161572052401747,0.6935953420669578,0.5410793039046684
0.9,test,1,224,0.4291861536281181,0.2857142857142857,0.625,0.7633928571428571,0.49203190097809457,0.37744644169123653
