group,method,display_method,scope,comparable,evaluation_split,category,category_label,n,MRR@10,Hit@1,Hit@5,Hit@10,Recall@10,nDCG@10
Ablation,ZScore-Raw,ZScore-Raw,sample-scoped,True,test,2,Temporal,239,0.5939596201102477,0.4811715481171548,0.7364016736401674,0.8158995815899581,0.7887029288702929,0.6301785090909794
Ablation,ZScore-Raw,ZScore-Raw,sample-scoped,True,test,3,Open-Domain,71,0.3060418063939191,0.22535211267605634,0.4225352112676056,0.5070422535211268,0.3690278928472797,0.280145285344544
Ablation,ZScore-Raw,ZScore-Raw,sample-scoped,True,all,4,Single-Hop,841,0.5270308400807806,0.3912009512485137,0.7158145065398336,0.8026159334126041,0.7913198573127229,0.5868369850067239
Ablation,ZScore-Raw,ZScore-Raw,sample-scoped,True,all,1,Multi-Hop,282,0.4246045817854328,0.2801418439716312,0.624113475177305,0.7411347517730497,0.44703670981666505,0.35434642997448845
Ablation,ZScore-Raw,ZScore-Raw,sample-scoped,True,all,2,Temporal,321,0.5827300598328636,0.4766355140186916,0.719626168224299,0.7850467289719626,0.7637590861889927,0.6174679422689744
Ablation,ZScore-Raw,ZScore-Raw,sample-scoped,True,all,3,Open-Domain,92,0.2996808143547274,0.21739130434782608,0.42391304347826086,0.5217391304347826,0.3934889173060529,0.2876031845712515
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,test,4,Single-Hop,612,0.5783509700176367,0.44281045751633985,0.7581699346405228,0.8545751633986928,0.8502178649237473,0.6419917180345237
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,test,1,Multi-Hop,224,0.44951636904761905,0.29910714285714285,0.6383928571428571,0.78125,0.48404706978485174,0.3821785262512229
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,test,2,Temporal,239,0.64170651524208,0.5523012552301255,0.7656903765690377,0.8200836820083682,0.799163179916318,0.6689466957055767
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,test,3,Open-Domain,71,0.3110719874804382,0.22535211267605634,0.39436619718309857,0.5211267605633803,0.39250207125103564,0.29707869908807255
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,all,4,Single-Hop,841,0.5702607440122304,0.4399524375743163,0.751486325802616,0.8323424494649228,0.821640903686088,0.6264736878141555
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,all,1,Multi-Hop,282,0.452516041877744,0.30141843971631205,0.6418439716312057,0.776595744680851,0.47121874641471506,0.37697609274261157
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,all,2,Temporal,321,0.6341937398012164,0.5482866043613707,0.7570093457943925,0.8068535825545171,0.7871235721703012,0.6628443200989619
Ours,ZScore-RawERK,CassMem (Ours),sample-scoped,True,all,3,Open-Domain,92,0.3168780193236715,0.22826086956521738,0.42391304347826086,0.5217391304347826,0.4007352941176471,0.3074847422814311
