op_id,cell,concurrency,repetition,qa_id,scope_id,target_memory_id,edge_count,logical_mutations,commit_ms,graph_visible_ms,relation_candidates_visible_ms,sparse_index_visible_ms,dense_index_visible_ms,candidate_fetch_ms,sparse_scoring_ms,dense_scoring_ms,zscore_fusion_ms,time_to_top10_ms,fresh_hit_at_10,graph_projection_ok,relation_candidate_ok,candidate_count
r2_measured_02093,cassandra-base,8,2,lr000003::conv-43_qa_17,lr000003::conv-43,lr000003::conv-43_session_3_D3:3,0,2,5.3666,49.0152,49.0208,82.6,219.8754,15.5038,5.0593,0.7328,0.3446,,0,1,1,680
r2_measured_02101,cassandra-base,8,2,lr000004::conv-47_qa_13,lr000004::conv-47,lr000004::conv-47_session_6_D6:12,1,14,10.2166,55.9456,58.6709,88.0804,184.0543,12.7082,3.8252,0.8951,0.3463,201.8933,1,1,1,686
r2_measured_02109,cassandra-base,8,2,lr000005::conv-48_qa_128,lr000005::conv-48,lr000005::conv-48_session_11_D11:10,1,22,3.3449,38.6219,43.5752,73.0257,131.195,11.0535,13.2679,0.7518,0.3662,156.7463,1,1,1,679
r2_measured_02140,cassandra-base,8,2,lr000010::conv-26_qa_20,lr000010::conv-26,lr000010::conv-26_session_6_D6:4,2,15,2.9735,36.9214,141.5781,170.1491,288.5901,3.8683,11.1467,0.2786,0.3546,304.2942,1,1,1,419
r2_measured_02156,cassandra-base,8,2,lr000009::conv-42_qa_71,lr000009::conv-42,lr000009::conv-42_session_11_D11:9,1,10,14.9968,60.4614,85.2539,117.4109,222.6547,26.109,8.9432,2.0801,0.3822,260.2357,1,1,1,627
r2_measured_02158,cassandra-base,8,2,lr000014::conv-26_qa_82,lr000014::conv-26,lr000014::conv-26_session_2_D2:2,0,2,8.2582,54.1234,54.1279,99.5109,161.1935,16.4296,16.3861,0.3011,0.4163,202.6277,1,1,1,418
r2_measured_02165,cassandra-base,8,2,lr000014::conv-26_qa_56,lr000014::conv-26,lr000014::conv-26_session_14_D14:15,1,20,7.8086,69.1545,72.82,139.2285,189.7865,10.5332,1.3527,0.2859,0.371,202.3842,1,1,1,418
r2_measured_02171,cassandra-base,8,2,lr000001::conv-49_qa_27,lr000001::conv-49,lr000001::conv-49_session_5_D5:7,1,12,4.7375,18.5265,21.799,46.8467,110.1337,25.5614,13.6472,0.3712,0.3577,,0,1,1,509
r2_measured_02180,cassandra-base,8,2,lr000001::conv-30_qa_76,lr000001::conv-30,lr000001::conv-30_session_15_D15:18,0,2,5.7343,36.8796,36.8845,55.0674,105.4424,6.4042,4.4786,0.2419,0.3531,116.9778,1,1,1,369
r2_measured_02182,cassandra-base,8,2,lr000010::conv-44_qa_113,lr000010::conv-44,lr000010::conv-44_session_25_D25:8,1,9,8.951,43.1609,48.1532,82.5118,145.9167,9.5657,16.3044,0.7061,0.4284,172.9934,1,1,1,675
